X_coordinate,Y_coordinate,state,code,name,zone,address
79.65731229,10.93262802,,POM,Punthottam,,
74.619424,28.006921,Rajasthan,LOHA,Loha,NWR,"Ratangarh, Rajasthan"
75.5648681348,31.3530203474,,BBSL,BABA SODHAL NAGAR,,
75.591499,31.331665,,JUC,JALANDHAR CITY,,
78.485843,13.666284,Andhra Pradesh,KBA,Kurabalakota,SCR,"Kurabalakota Railway Station, Andhra Pradesh"
75.632106,31.306235,,JRC,JALANDHAR CANT,,
77.963828,26.368567,Madhya Pradesh,ABE,Ambikeshwar,NCR,"State Highway 2, Madhya Pradesh"
75.7066912787,31.262694745,,CEU,CHIHERU,,
75.769234,31.175,,MLIH,MAULI HALT,,
75.769544,31.17531,,MAUL,MAULA ALI,,
75.774193,31.129722,,GRY,GORAYA,,
77.122043,31.100734,Himachal Pradesh,JTO,Jutogh,NR,"Shimla, Himachal Pradesh"
75.857438,29.699949,Punjab,JPS,Jamalpur Shaikhan,?,"MDR 101, Punjab"
75.780007,31.071444,,BTTN,BHATIAN,,
84.9361293799,25.7687306557,,PPDA,PANCHPATIA DEORIA HALT,,
72.983444,19.297247,Maharashtra,KHBV,KHARBAO,CR,"Thane, Maharashtra"
77.329069,27.015612,Rajasthan,KEV,KELA DEVI,WCR,"Bharatpur, Rajasthan"
79.490035,10.771022,Tamil Nadu,KDE,KORADACHERI,SR,"Koradacheri, Tamil Nadu"
76.6268054126,27.0865148373,,SHGN,SHRI GHASINAGAR,,
87.879653656,22.4343309193,,QGT,KOLAGHAT,,
76.6960924713,27.1106230397,,BW,BIWAI,,
83.453837,26.72824,,KHM,KUSMHI,,
81.860042,25.393138,,NYN,NAINI,,
80.842854,24.862627,Madhya Pradesh,CTHR,CHITAHRA,WCR,"MDR 11, Madhya Pradesh"
80.827717,24.568619,Madhya Pradesh,STA,SATNA,WCR,"Satna, Madhya Pradesh"
75.3899776996,15.08644671,Karnataka,KALS,KALAS HALT,SWR,"State Highway 6, Karnataka"
